school_name,school_number,classes_text,classes,address,area_text,area,phone,email,website
אדם ואדמה תבור,636019,עליונה בלבד,7,כדורי,צפון,1,050-6621315,adam-adama@hashomer.org.il,<a href='http://adam-adama.co.il/' target='_blank'>דף הבית</a>
מקיף חקלאי כדורי,280065,"חט""ב + עליונה",6,כדורי,צפון,1,04-6629500,kerensh@kadoorie.org.il,<a href='https://www.school.kadoorie.org.il/' target='_blank'>דף הבית</a>
כפר הנוער בן שמן,480145,"חט""ב + עליונה",6,"בן שמן (כפר נוער) , בן שמן (כפר נוער)",מרכז,4,08-9777111,Shani.berg@ben-shemen.org.il,<a href='https://www.ben-shemen.org.il/' target='_blank'>דף הבית</a>
אולפנה יחודית לבנות,841247,עליונה בלבד,7,נוב,צפון,1,"04-6600205, 04-6763883",orit@unov.org.il,<a href='https://www.unov.org.il/' target='_blank'>דף הבית</a>
"בי""ס בינלאומי למזרח ים תיכון",476325,עליונה בלבד,7,"הכפר הירוק, רמת השרון","ת""א",3,03-6455666,admissions@em-is.org,<a href='https://kfaryarok.org.il/' target='_blank'>דף הבית</a>
חקלאי הכפר הירוק,580019,"חט""ב + עליונה",6,"הכפר הירוק, רמת השרון",מרכז,4,03-6455621,oritf@kfaryarok.org.il,<a href='https://kfaryarok.org.il/about-the-school/' target='_blank'>דף הבית</a>
המגשימים,358127,"חט""ב + עליונה",6,"שד ש""י עגנון 8, ירושלים",ירושלים,5,02-6491988,magshimimschool@gmail.com,<a href='https://rothmanmagshimim.tik-tak.net/' target='_blank'>דף הבית</a>
חוות הנוער הציוני,140095,"חט""ב + עליונה",6,"שד ש""י עגנון 1, ירושלים",ירושלים,5,02-6491925,office@hava.org.il,<a href='https://sites.google.com/a/hava.org.il/hava/dafsha3ar-1/school' target='_blank'>דף הבית</a>
כפר גלים,380055,"חט""ב + עליונה",6,כפר גלים,חיפה,2,04-8571158,alfa@kfargalim.co.il,<a href='https://kfargalim.co.il/%D7%91%D7%99%D7%AA-%D7%94%D7%A1%D7%A4%D7%A8/' target='_blank'>דף הבית</a>
חקלאי עיינות,480061,עליונה בלבד,7,עיינות,מרכז,4,08-9406850,klita@ayanot.org.il,<a href='https://ayanot.org.il/' target='_blank'>דף הבית</a>
בן-יקיר,480129,"חט""ב + עליונה",6,"כפר הרא""ה 150",מרכז,4,04-6160228,solyb@jafi.org,<a href='https://www.benyakir.org.il/' target='_blank'>דף הבית</a>
מקיף שפיה,380022,"חט""ב + עליונה",6,מאיר שפיה,חיפה,2,04-6390749,pazit@shfeyah.org.il,<a href='http://www.shfeyah.org.il/%D7%91%D7%99%D7%AA-%D7%94%D7%A1%D7%A4%D7%A8/' target='_blank'>דף הבית</a>
גאון הירדן,260133,"חט""ב + עליונה",6,נווה איתן,צפון,1,04-6851830,g.hayarden@gmail.com,<a href='https://geonhayarden.org.il/' target='_blank'>דף הבית</a>
מקוה ישראל דתי,580027,"חט""ב + עליונה",6,מקווה ישראל,מרכז,4,03-5020675,infodati@mikveisrael.org.il,<a href='http://www.mikveisrael.org.il/' target='_blank'>דף הבית</a>
מקוה ישראל כללי,580035,"חט""ב + עליונה",6,מקווה ישראל,"ת""א",3,03-5011570,klali@mikveisrael.org.il,<a href='http://www.klali.mikveisrael.edu1.org.il/BRPortal/br/P100.jsp' target='_blank'>דף הבית</a>
ריימונד לאוואן,542092,"חט""ב + עליונה",6,מקווה ישראל,"ת""א",3,03-5020647,lfi@mikveisrael.org.il,<a href='http://www.clfi-mikveisrael.org/he/homepage-1/' target='_blank'>דף הבית</a>
הודיות,270223,"חט""ב + עליונה",6,הודיות,צפון,1,04-6797060,oferyeru@gmail.com,<a href='https://hodayot.com/%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8/' target='_blank'>דף הבית</a>
רמת הדסה,344085,"חט""ב + עליונה",6,"השקדים 111, קריית טבעון",חיפה,2,04-9037811,einavm@ramat-hadassah.org.il,<a href='https://www.ramat-hadassah.org.il/index.php/school' target='_blank'>דף הבית</a>
רמות ים,470443,"חט""ב + עליונה",6,מכמורת,מרכז,4,09-8662213,hauta@m-yam.org.il,<a href='https://sites.google.com/view/ramot-yam/' target='_blank'>דף הבית</a>
ישיבת בני עקיבא מירון,270280,עליונה בלבד,7,מירון,צפון,1,04-6989043,yshmeron@gmail.com,<a href='https://ybam.co.il/' target='_blank'>דף הבית</a>
